,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Percentage daily smokers,TBL rate
3003,LCN,2003,,,,,,,,,
3004,LCN,2004,,,,,,,,,
3005,LCN,2005,,,,,,,,,
3006,LCN,2006,,,,,,,,,
3007,LCN,2007,,,,,,,,,
3008,LCN,2008,,,,,,,,,
3009,LCN,2009,,,,,,,,,
3010,LCN,2010,,,,,,,,,
3011,LCN,2011,,,,,,,,,
3012,LCN,2012,,,,,,,,,
3013,LAC,1990,,,,,,,,,
3014,LAC,1991,,,,,,,,,
3015,LAC,1992,,,,,,,,,
3016,LAC,1993,,,,,,,,,
3017,LAC,1994,,,,,,,,,
3018,LAC,1995,,,,,,,,,
3019,LAC,1996,,,,,,,,,
3020,LAC,1997,,,,,,,,,
3021,LAC,1998,,,,,,,,,
3022,LAC,1999,,,,,,,,,
3023,LAC,2000,,,,,,,,,
3024,LAC,2001,,,,,,,,,
3025,LAC,2002,,,,,,,,,
3026,LAC,2003,,,,,,,,,
3027,LAC,2004,,,,,,,,,
3028,LAC,2005,,,,,,,,,
3029,LAC,2006,,,,,,,,,
3030,LAC,2007,,,,,,,,,
3031,LAC,2008,,,,,,,,,
3032,LAC,2009,,,,,,,,,
3033,LAC,2010,,,,,,,,,
3034,LAC,2011,,,,,,,,,
3035,LAC,2012,,,,,,,,,
3036,TLA,1990,,,,,,,,,
3037,TLA,1991,,,,,,,,,
3038,TLA,1992,,,,,,,,,
3039,TLA,1993,,,,,,,,,
3040,TLA,1994,,,,,,,,,
3041,TLA,1995,,,,,,,,,
3042,TLA,1996,,,,,,,,,
3043,TLA,1997,,,,,,,,,
3044,TLA,1998,,,,,,,,,
3045,TLA,1999,,,,,,,,,
3046,TLA,2000,,,,,,,,,
3047,TLA,2001,,,,,,,,,
3048,TLA,2002,,,,,,,,,
3049,TLA,2003,,,,,,,,,
3050,TLA,2004,,,,,,,,,
3051,TLA,2005,,,,,,,,,
3052,TLA,2006,,,,,,,,,
3053,TLA,2007,,,,,,,,,
3054,TLA,2008,,,,,,,,,
3055,TLA,2009,,,,,,,,,
3056,TLA,2010,,,,,,,,,
3057,TLA,2011,,,,,,,,,
3058,TLA,2012,,,,,,,,,
3059,LVA,1990,1.506298424696789,1.5753029012221378,6.088790873464583,0.19173298842918882,1.3167954893972955,0.04453283043417649,0.6348710017193575,28.700001,35.17287312729506
3060,LVA,1991,1.458661999101597,1.2873049458634735,5.556468656577704,0.22017557582986105,1.2573083535990335,0.04885212286435663,0.6188033271890828,28.799999,35.16418782448523
3061,LVA,1992,1.2085511110801856,1.0929731109118257,4.914662631073518,0.21752319912676774,1.1306836553258763,0.04208012269542387,0.529302537475751,29.0,35.201304725043606
3062,LVA,1993,1.0900000164880674,1.0291480816776504,4.9103417772155025,0.2307768742602587,1.039829319157024,0.040973906659235435,0.4172705960050623,29.200001,38.73620985006834
3063,LVA,1994,0.9289538702145559,1.0364644900350433,4.600508131982895,0.23497690840114682,0.9750904436598578,0.03749799929706377,0.32525944202413565,29.4,41.54395686321592
3064,LVA,1995,0.8545275768599202,0.7680567813946227,4.266126243686224,0.25944914347137193,0.9615772539698614,0.03811566531734273,0.31212429413108755,29.700001,37.551391995490185
3065,LVA,1996,0.8460053722358947,0.8643153835105561,4.293078334429891,0.2690975117766778,0.9631898099508209,0.03892895549832801,0.3039700475045424,29.9,31.54884182258153
3066,LVA,1997,0.800205715414596,0.6810613650319706,3.934719618372336,0.2675266695775417,0.9133048977199045,0.03892586839965835,0.2877832104127742,30.1,30.03280910615472
3067,LVA,1998,0.7412638164142946,0.6159299338820935,3.6593875923360133,0.261453527088798,0.8731140174514848,0.037882175018112293,0.27105686681491303,30.299999,31.686559717724023
